STATIONNAME,LONGITUDE,LATITUDE,ELEVATION_METER,COUNTRY,CROP,YA,YW,YW-YA,YP,YP-YA,WPP,WPA,CROPPING_INTENSITY,YW_CV_TEMPORAL,YP_CV_TEMPORAL,YA_CV_TEMPORAL,CLIMATEZONE,AREA_IN_CLIMATEZONE_HA,,,
Embu,37.575,-0.485,1350,Kenya,sorghum,0.97195,2.568489715,1.596539715,9.398829928,8.426879928,9.021868733,3.413992769,1,0.695524698,0.075873257,0.121728833,7401,348,,,
Kakamega,34.46,0.17,1530,Kenya,sorghum,0.97195,4.530725969,3.558775969,4.61212063,3.64017063,14.51230736,3.11323996,1,0.131644497,0.10538712,0.121728833,7701,27638,,,
Kericho,35.16,-0.22,2093,Kenya,sorghum,0.97195,11.19547714,10.22352714,11.67311912,10.70116912,15.56172452,1.35101148,1,0.10054406,0.053999526,0.121728833,7501,13664,,,
Kisii,34.7886,-0.6831,1171,Kenya,sorghum,0.97195,5.536760754,4.564810754,5.564981195,4.593031195,16.02595774,2.813274823,1,0.044874659,0.045680544,0.121728833,6801,671,,,
Kisumu,34.7349,-0.072,1146,Kenya,sorghum,0.97195,4.464878341,3.492928341,4.553388004,3.581438004,12.62346761,2.747976183,1,0.068875983,0.063938453,0.121728833,7601,13703,,,
Kitale,34.9588,0.9733,1850,Kenya,sorghum,0.97195,11.01901181,10.04706181,11.26525359,10.29330359,15.42324066,1.360432226,1,0.094910634,0.073413646,0.121728833,6401,1371,,,
Nakuru,36.6,-0.155,1901,Kenya,sorghum,0.97195,7.279899075,6.307949075,12.81939376,11.84744376,12.31591942,1.644316461,1,0.578347741,0.035163534,0.121728833,5401,160,,,
Bougouni,-7.5,11.42,344,Mali,sorghum,1.0115375,6.88649254,5.87495504,6.89676333,5.88522583,15.46914815,2.272219618,1,0.072344781,0.07312993,0.076286344,10301,137999,,,
Dag Dag,-11.4,14.48,47,Mali,sorghum,1.0115375,5.789169966,4.777632466,7.172920336,6.161382836,14.28383994,2.495805069,1,0.249394924,0.072668388,0.076286344,10101,24626,,,
Koutiala,-5.47,12.38,367,Mali,sorghum,1.0115375,7.867804823,6.856267323,8.293282688,7.281745188,15.36096535,1.974908228,1,0.11458537,0.070567756,0.076286344,10201,166460,,,
Nara,-7.28,15.17,265,Mali,sorghum,1.0115375,4.17379711,3.16225961,6.392964188,5.381426688,11.33221008,2.746409361,1,0.46829066,0.12146584,0.076286344,10001,65617,,,
Segou,-6.15,13.4,289,Mali,sorghum,1.0115375,6.652982921,5.641445421,7.343819876,6.332282376,17.15394044,2.608131456,1,0.171929168,0.093371368,0.076286344,10101,108108,,,
Senou,-7.95,12.53,381,Mali,sorghum,1.0115375,7.304760042,6.293222542,8.308272328,7.296734828,14.74122338,2.04131281,1,0.139744736,0.082441806,0.076286344,10201,67508,,,
Sikasso,-5.68,11.35,375,Mali,sorghum,1.0115375,9.3529076,8.3413701,9.276339681,8.264802181,18.46268178,1.996779587,1,0.049816121,0.046625123,0.076286344,9401,23986,,,
Maradi,7.0833,13.4667,373,Niger,sorghum,0.558555556,3.346937173,2.788381618,5.115696994,4.557141438,10.15035864,1.693948502,1,0.562960397,0.143006798,0.251957235,10001,728983,,,
Zinder,8.9838,13.779,453,Niger,sorghum,0.474,1.607119301,1.133119301,4.690898335,4.216898335,5.157585513,1.521166184,1,0.70868378,0.185519466,0.181707744,10001,898703,,,
Bauchi,9.817,10.283,609,Nigeria,sorghum,1.074036572,6.352696097,5.278659525,8.767439836,7.693403264,11.89604131,2.011237943,1,,,0.105454733,9301,59034,,,
Bida,6.017,9.1,143,Nigeria,sorghum,1.334011847,7.115084958,5.781073111,7.277154687,5.94314284,13.91216426,2.60840061,1,,,0.131709405,10401,198287,,,
Gusau,6.7,12.167,469,Nigeria,sorghum,1.74513172,7.8581562,6.11302448,7.933950884,6.188819164,21.88493446,4.860185056,1,,,0.580893448,9201,85313,,,
Ibi,9.75,8.183,111,Nigeria,sorghum,1.041164649,7.921357111,6.880192462,8.015756867,6.974592218,17.64498575,2.319215652,1,,,0.156359563,10401,121782,,,
Kaduna,7.45,10.6,642,Nigeria,sorghum,1.191224307,8.156525693,6.965301386,8.412430558,7.221206252,18.46661201,2.696966566,1,,,0.221587217,9401,94019,,,
Kano,8.533,12.05,481,Nigeria,sorghum,1.281601427,6.936449478,5.65484805,8.040091935,6.758490508,14.2073132,2.62499034,1,,,0.209489646,9101,300548,,,
Katsina,7.617,13.017,427,Nigeria,sorghum,1.148158478,6.54667847,5.398519992,9.412868874,8.264710396,14.72439598,2.582369084,1,,,0.095595468,10101,45970,,,
Maidu,13.083,11.85,354,Nigeria,sorghum,0.949252001,5.796782898,4.847530898,7.480635226,6.531383225,16.53294436,2.707351782,1,,,0.105129534,10101,111891,,,
Makurdi,8.617,7.683,97,Nigeria,sorghum,1.42730064,7.603463929,6.17616329,7.640826185,6.213525545,14.69248675,2.758031856,1,,,0.312356448,10501,53843,,,
Nguru,10.467,12.883,344,Nigeria,sorghum,0.942781124,4.84822564,3.905444516,7.394561132,6.451780008,14.63518523,2.845943527,1,,,0.150627358,10001,157088,,,
Sokoto,5.25,13.017,302,Nigeria,sorghum,1.227046231,4.997721738,3.770675507,7.420893245,6.193847014,12.55844079,3.083362429,1,,,0.089380389,10101,223589,,,
Yelwa,4.75,10.883,243,Nigeria,sorghum,1.368670564,6.370599374,5.00192881,7.421012968,6.052342405,12.13462159,2.607023045,1,,,0.183415541,10301,156339,,,
nig_rfso2,10.38282003,12.02804567,368,Nigeria,sorghum,1.074036572,6.798845399,5.724808827,7.487120978,6.413084405,17.50961895,2.766053647,1,,,0.105454733,10101,171849,,,
nig_rfso3,8.362169109,11.78719481,467,Nigeria,sorghum,1.281601427,8.684542045,7.402940618,9.516956948,8.235355521,17.14504123,2.530140243,1,,,0.209489646,9201,346724,,,
nig_rfso6,4.653490145,10.04466478,158,Nigeria,sorghum,1.334011847,7.972001369,6.637989522,8.272121389,6.938109542,13.72541079,2.296770881,1,,,0.131709405,10401,67608,,,
DODOMA,35.7667,-6.1667,1120,Tanzania,sorghum,0.787389722,2.769302186,1.981912463,4.628550968,3.841161245,10.39511629,2.955621013,1,0.457337869,0.090167849,0.447371753,7101,57949,,,
MOROGORO,37.65,-6.821,526,Tanzania,sorghum,0.978451856,2.217032056,1.238580199,2.585125461,1.606673604,8.917466298,3.935582001,1,0.35927008,0.119357409,0.319826416,8301,4331,,,
Shinyanga,33.4333,-3.6667,1126,Tanzania,sorghum,1.241381478,3.083012935,1.841631456,3.978833805,2.737452326,10.54466983,4.245832923,1,0.260629223,0.080228148,0.326578834,7201,40708,,,
tan_rfmz1,33.62356705,-2.689588813,1213,Tanzania,sorghum,1.350911348,3.87990661,2.528995263,5.453904289,4.102992941,8.697852334,3.028430474,2,0.415339799,0.116548531,0.834138615,7301,59437,,,
tan_rfso5,36.27643053,-5.561809101,1250,Tanzania,sorghum,0.910724696,3.237888325,2.327163629,4.702454689,3.791729993,9.8738011,2.777215766,1,0.521787555,0.254811551,0.347401169,7201,64747,,,
Arua,30.91666667,3.05,1211,Uganda,sorghum,0.920375,5.401202577,4.480827577,5.83001677,4.90964177,16.35273245,2.78653613,2,0.11740906,0.044409616,0.132793658,7601,4452,,,
Gulu,32.28333333,2.783333333,1105,Uganda,sorghum,0.920375,5.267754461,4.347379461,5.396776343,4.476401343,13.96911583,2.440665197,2,0.082463963,0.080177647,0.132793658,7601,2847,,,
Jinja,33.18333333,0.511,1173,Uganda,sorghum,0.920375,5.312490691,4.392115691,5.770851743,4.850476743,15.54791585,2.693635411,2,0.154077146,0.027610154,0.132793658,7501,4369,,,
Kabale,30.01,-1.236,1869,Uganda,sorghum,0.920375,3.673355596,2.752980596,6.867281638,5.946906638,11.32754374,2.838164668,2,0.110030198,0.083160908,0.132793658,6501,10753,,,
Kitgum,32.8867,3.2783,953,Uganda,sorghum,0.920375,4.35068943,3.43031443,4.980642709,4.060267709,11.8827137,2.513751625,2,0.196721137,0.126429949,0.132793658,8401,30018,,,
Mbarara,30.68333333,-0.6,1402,Uganda,sorghum,0.920375,3.80757096,2.88719596,5.158959528,4.238584528,13.62576143,3.293651072,2,0.287741987,0.041545292,0.132793658,7401,35,,,
Soroti,33.61666667,1.716666667,1123,Uganda,sorghum,0.920375,4.046198944,3.125823944,4.719236317,3.798861317,12.14561275,2.762720887,2,0.209345996,0.065701459,0.132793658,8501,75145,,,
Tororo,34.16666667,0.683333333,1171,Uganda,sorghum,0.920375,5.603872007,4.683497007,5.704774643,4.784399643,14.56630207,2.392356615,2,0.04860733,0.027758587,0.132793658,7601,3715,,,
uga_rfso1,32.068,2.585660836,1053,Uganda,sorghum,0.920375,3.864385666,2.944010666,4.519444089,3.599069089,9.650432837,2.298429269,2,0.398352729,0.306729394,0.132793658,8501,18202,,,
uga_rfso2,31.22609045,3.061436142,722,Uganda,sorghum,0.920375,4.488413912,3.568038912,4.713798982,3.793423982,11.01843372,2.25939299,2,0.340037301,0.300936545,0.132793658,8401,22717,,,
uga_rfso3,31.88266673,1.991090304,1039,Uganda,sorghum,0.920375,3.812965493,2.892590493,4.267694579,3.347319579,10.76451427,2.598342376,2,0.411841791,0.354018115,0.132793658,7501,7006,,,
Bobo-Dioulasso,-4.317,11.167,445,Burkina Faso,rice,1.3,7.41358,6.11358,10.1519,8.8519,21.93295872,3.846029359,1,0.363178761,0.043414195,,10301,13283,,,
Boromo,-2.933,11.75,243,Burkina Faso,rice,1.3,4.40715725,3.10715725,10.59476,9.29476,12.6467984,3.730485886,1,0.646770282,0.08623655,,10201,7967,,,
Fada Ngourma,0.367,12.033,294,Burkina Faso,rice,1.6,4.893048,3.293048,11.171239,9.571239,14.86512189,4.860813757,1,0.236374884,0.04743597,,10201,10848,,,
Gaoua,-3.183,10.333,339,Burkina Faso,rice,1.3,6.367785,5.067785,10.838,9.538,18.33534566,3.743208879,1,0.391709578,0.060785758,,10301,4318,,,
Bouake,-5.074,7.739,9,Cote D'ivoire,rice,1.304,4.649559636,3.345559636,8.742208545,7.438208545,,,1,0.256680353,0.033486651,,9401,22586,,,
Daloa,-6.473,6.793,34,Cote D'ivoire,rice,1.145,4.646165455,3.501165455,8.395378182,7.250378182,,,1,0.478025775,0.040855916,,9601,21296,,,
Ferkessedougou,-5.2,9.6,6,Cote D'ivoire,rice,1.2,6.155043182,4.955043182,8.778363636,7.578363636,,,1,0.261762759,0.018299092,,10501,5023,,,
Gagnoa,-6.07,6.2,9,Cote D'ivoire,rice,1.704,8.087038727,6.383038727,8.379771636,6.675771636,,,1,0.074502733,0.038103999,,9701,13374,,,
Korhogo,-5.557,9.387,0,Cote D'ivoire,rice,1.275,6.900518182,5.625518182,8.906472727,7.631472727,,,1,0.269297656,0.019718766,,9501,22965,,,
Man,-7.7,7.28,784,Cote D'ivoire,rice,0.935,8.160391545,7.225391545,8.161995182,7.226995182,,,1,0.047908022,0.047832448,,8701,31841,,,
Odienne,-7.567,9.5,1,Cote D'ivoire,rice,1.704,7.636600909,5.932600909,9.316942545,7.612942545,,,1,0.16020536,0.023450766,,9501,10459,,,
Seguela,-6.67,7.95,1266,Cote D'ivoire,rice,1.023,6.414968455,5.391968455,8.967783091,7.944783091,,,1,0.307337705,0.021745821,,9501,34999,,,
Yamoussoukro,-5.366,6.903,5,Cote D'ivoire,rice,1.404,2.091747636,0.687747636,7.829408,6.425408,,,1,0.47564503,0.049299951,,9501,8539,,,
Bahir Dar,37.38,11.58,1790,Ethiopia,rice,2.3,6.73527075,4.43527075,7.88421,5.58421,20.10325231,6.864977226,1,0.442166681,0.372926289,,6601,472,,,
Gore,35.53,8.02,1880,Ethiopia,rice,2.5,8.84467,6.34467,8.875775,6.375775,29.29585801,8.280653211,1,0.487980602,0.489403398,,7801,136,,,
Bolgatanga,-0.867,10.8,180,Ghana,rice,1.2,9.0109575,7.8109575,9.482835,8.282835,21.91773874,2.918811512,1,0.108519536,0.067100605,,10301,44350,,,
Yendi,-0.004,9.432,197,Ghana,rice,1.2,6.43319,5.23319,10.49271,9.29271,17.03686621,3.177931858,1,0.505787029,0.039204632,,10401,28052,,,
Bougouni,-7.5,11.42,344,Mali,rice,2.7,7.617274375,4.917274375,11.47735875,8.77735875,18.43669115,6.535023377,1,0.281768469,0.082314151,,10301,10902,,,
Koutiala,-5.47,12.38,367,Mali,rice,2.7,5.442997188,2.742997188,11.27689,8.57689,13.71686712,6.804255072,1,0.500782795,0.114444034,,10201,17061,,,
Mopti,-4.1,14.52,272,Mali,rice,1.8,5.035055,3.235055,9.486985,7.686985,14.07912578,5.033197532,1,0.449618251,0.092628416,,10001,50731,,,
San,-4.83,13.33,284,Mali,rice,4.4,5.438296,1.038296,11.374745,6.974745,13.72724521,11.10639784,1,0.404437948,0.107379996,,10101,14334,,,
Sikasso,-5.68,11.35,375,Mali,rice,2.1,7.394470563,5.294470563,12.0203575,9.9203575,17.79097606,5.052565887,1,0.347724163,0.108002845,,9401,5489,,,
Abuja,7,9.25,344,Nigeria,rice,3,9.71334585,6.71334585,10.0016431,7.0016431,27.47245786,8.484962325,1,0.098383298,0.072731579,,10501,23101,,,
Bauchi,9.817,10.283,609,Nigeria,rice,1.7,7.0849769,5.3849769,10.061107,8.361107,21.06644915,5.054774921,1,0.314256297,0.087245874,,9301,11140,,,
Bida,6.017,9.1,143,Nigeria,rice,3,5.059466368,2.059466368,9.03123315,6.03123315,16.1550729,9.579116687,1,0.437257459,0.06814145,,10401,102236,,,
Enugu,7.55,6.467,140,Nigeria,rice,2.1,8.656787,6.556787,9.121612,7.021612,26.05194095,6.319790009,1,0.145180011,0.136118654,,9801,119443,,,
Ibi,9.75,8.183,111,Nigeria,rice,1.8,4.19687,2.39687,9.372486,7.572486,14.07045203,6.034691011,1,0.544991297,0.100016331,,10401,73039,,,
Kaduna,7.45,10.6,642,Nigeria,rice,1.9,9.794896,7.894896,10.117728,8.217728,28.33759857,5.496887081,1,0.103556324,0.071946564,,9401,73139,,,
Makurdi,8.617,7.683,97,Nigeria,rice,3,8.3381666,5.3381666,9.0882167,6.0882167,25.33810074,9.116428812,1,0.157016324,0.116209357,,10501,53123,,,
