STATIONNAME,LONGITUDE,LATITUDE,ELEVATION_METER,COUNTRY,CROP,YA,YW,YW-YA,YP,YP-YA,WPP,WPA,CROPPING_INTENSITY,YW_CV_TEMPORAL,YP_CV_TEMPORAL,YA_CV_TEMPORAL,CLIMATEZONE,AREA_IN_CLIMATEZONE_HA,MIN_N_INPUT_TARGET_30_PERC,MIN_N_INPUT_TARGET_50_PERC,MIN_N_INPUT_TARGET_80_PERC,nitrogen,phosphorus,potassium,ph,bulk_density,cation_exchange
Kitale,34.9588,0.9733,1850.0,Kenya,Rainfed maize,4.127778479,14.21345,10.08567152,19.65,15.52222152,20.2422111,5.878612396,1.0,0.401394388,0.047953265,0.113305934,6401,138755,86.14212121,143.570202,240.5979938,1.5,163.0,9.0,5.7,1.22,10.0
Nakuru,36.6,-0.155,1901.0,Kenya,Rainfed maize,2.4,4.815151515,2.415151515,13.48421053,11.08421053,10.51233126,5.239626404,1.0,0.743862225,0.058616925,0.241762433,5401,33322,29.18273646,48.63789409,81.50841592,3.2,220.4,12.5,5.8,1.09,12.5
Bougouni,-7.5,11.42,344.0,Mali,Rainfed maize,2.072833333,15.40586667,13.33303333,15.86,13.78716667,28.05693498,3.775013203,1.0,0.05862672,0.041605934,0.227662747,10301,161683,93.36888889,155.6148148,260.7826117,0.6,59.3,6.4,5.9,1.54,5.7
Dag Dag,-11.4,14.48,47.0,Mali,Rainfed maize,1.6037,6.5075,4.9038,10.75555556,9.151855556,17.19597257,4.237753548,1.0,0.525324542,0.086175778,0.704277436,10101,7848,39.43939394,65.73232323,110.1556233,0.6,98.5,9.0,6.4,1.58,10.0
Koutiala,-5.47,12.38,367.0,Mali,Rainfed maize,2.333333333,8.844842105,6.511508772,16.77894737,14.44561404,17.21562818,4.541607256,1.0,0.721314364,0.059485115,,10201,192995,53.60510367,89.34183945,149.720952,0.6,72.7,7.2,6.3,1.62,7.2
San,-4.83,13.33,284.0,Mali,Rainfed maize,1.3634,5.078111111,3.714711111,10.63333333,9.269933333,13.66122381,3.667842656,1.0,0.61870303,0.066342417,0.484035156,10101,74140,30.77643098,51.29405163,85.95966113,0.8,72.7,5.7,6.2,1.56,12.5
Segou,-6.15,13.4,289.0,Mali,Rainfed maize,1.3709,6.139833333,4.768933333,10.64444444,9.273544444,15.97807859,3.567580218,1.0,0.543456016,0.093792089,0.471365721,10101,42229,37.21111111,62.01851852,103.9319505,0.2,59.3,5.7,6.0,1.57,5.0
Senou,-7.95,12.53,381.0,Mali,Rainfed maize,1.5238,12.90938889,11.38558889,15.86111111,14.33731111,25.25984833,2.981625019,1.0,0.200295822,0.059543083,0.529823561,10201,43403,78.23872054,130.3978676,218.5235159,0.6,59.3,8.0,5.8,1.56,8.0
Sikasso,-5.68,11.35,375.0,Mali,Rainfed maize,2.072833333,16.34305263,14.2702193,17.1,15.02716667,29.7558738,3.774017527,1.0,0.085185355,0.057661596,0.227662747,9401,27742,99.04880383,165.0813397,276.6468152,0.5,59.3,8.0,5.6,1.5,8.0
Akure,5.301,7.2467,335.0,Nigeria,Rainfed maize,2.522222222,9.709052632,7.186830409,15.39473684,12.87251462,21.74456253,5.6488126,1.0,0.508737971,0.048196641,0.435120995,9701,72716,58.84274322,98.0712387,164.3498647,1.4,59.3,7.2,5.9,1.32,8.0
Awka,7.05,6.2,3525.0,Nigeria,Rainfed maize,1.8,14.01936842,12.21936842,14.63157895,12.83157895,30.04386982,3.857446645,1.0,0.064154402,0.049863087,0.087841046,9801,109619,84.96586922,141.609782,237.3126803,1.2,72.7,9.0,5.7,1.38,8.0
Bauchi,9.817,10.283,609.0,Nigeria,Rainfed maize,2.2,12.53272727,10.33272727,14.49,12.29,24.67618174,4.331666894,1.0,0.257135472,0.054978445,0.346171505,9301,62124,75.95592287,126.5932048,212.1475812,0.7,80.5,8.0,6.4,1.39,9.0
