iter	Passed	Remaining
737	18337	6509
738	18360	6484
739	18386	6460
740	18411	6435
741	18439	6411
742	18463	6386
743	18490	6362
744	18514	6337
745	18543	6313
746	18571	6290
747	18599	6266
748	18626	6242
749	18652	6217
750	18677	6192
751	18702	6167
752	18726	6142
753	18752	6118
754	18774	6092
755	18798	6067
756	18822	6042
757	18845	6016
758	18869	5991
759	18892	5966
760	18917	5941
761	18940	5915
762	18964	5890
763	18987	5865
764	19011	5840
765	19037	5815
766	19061	5790
767	19086	5765
768	19108	5740
769	19133	5715
770	19156	5689
771	19181	5665
772	19206	5640
773	19231	5615
774	19255	5590
775	19279	5565
776	19303	5540
777	19331	5516
778	19354	5490
779	19377	5465
780	19401	5440
781	19423	5414
782	19451	5390
783	19474	5365
784	19500	5340
785	19522	5315
786	19547	5290
787	19570	5265
788	19594	5240
789	19617	5214
790	19647	5191
791	19668	5165
792	19692	5140
793	19715	5115
794	19738	5089
795	19764	5065
796	19788	5040
797	19816	5016
798	19841	4991
799	19867	4966
800	19892	4941
801	19916	4917
802	19944	4892
803	19967	4867
804	19991	4842
805	20015	4817
806	20037	4792
807	20064	4767
808	20088	4742
809	20112	4717
810	20135	4692
811	20162	4668
812	20186	4643
813	20212	4618
814	20236	4593
815	20263	4569
816	20289	4544
817	20314	4519
818	20340	4495
819	20364	4470
820	20388	4445
821	20410	4419
822	20433	4394
823	20459	4369
824	20482	4344
825	20507	4319
826	20529	4294
827	20555	4269
828	20579	4244
829	20603	4219
830	20625	4194
831	20650	4169
832	20675	4145
833	20699	4119
834	20724	4095
835	20749	4070
836	20776	4046
837	20802	4021
838	20826	3996
839	20851	3971
840	20875	3946
841	20899	3921
842	20925	3897
843	20949	3872
844	20975	3847
845	20998	3822
846	21022	3797
847	21045	3772
848	21070	3747
849	21092	3722
850	21116	3697
851	21140	3672
852	21162	3647
853	21187	3622
854	21210	3597
855	21235	3572
856	21259	3547
857	21285	3522
858	21308	3497
859	21333	3472
860	21358	3448
861	21382	3423
862	21405	3398
863	21428	3372
864	21454	3348
865	21479	3323
866	21505	3298
867	21529	3274
868	21555	3249
869	21580	3224
870	21603	3199
871	21626	3174
872	21652	3149
873	21675	3124
874	21700	3100
875	21722	3074
876	21746	3049
877	21770	3025
878	21794	3000
879	21818	2975
880	21841	2950
881	21867	2925
882	21890	2900
883	21917	2876
884	21943	2851
885	21970	2826
886	21996	2802
887	22021	2777
888	22049	2753
889	22073	2728
890	22102	2703
891	22128	2679
892	22152	2654
893	22176	2629
894	22201	2604
895	22226	2579
896	22249	2554
897	22275	2530
898	22308	2506
899	22335	2481
900	22362	2457
901	22385	2432
902	22410	2407
903	22435	2382
904	22460	2357
905	22484	2332
906	22513	2308
907	22535	2283
908	22560	2258
909	22584	2233
910	22611	2208
911	22634	2184
912	22660	2159
913	22683	2134
914	22711	2109
915	22734	2084
916	22758	2059
917	22781	2034
918	22806	2010
919	22830	1985
920	22853	1960
921	22878	1935
922	22901	1910
923	22928	1885
924	22949	1860
925	22974	1835
926	22996	1810
927	23021	1786
928	23044	1761
929	23067	1736
930	23092	1711
931	23117	1686
932	23142	1661
933	23165	1636
934	23192	1612
935	23216	1587
936	23243	1562
937	23266	1537
938	23292	1513
939	23316	1488
940	23343	1463
